Unnamed: 0,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Vicinity,Location,District
0,Bärengasse,ChIJXT485wAKkEcRmYgz1gFYLGA,47.37028249999999,8.5387167,4.5,535,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 25, Zürich",Bahnhofstrasse 25, Zürich
1,N-68,ChIJf9rQEaigmkcRLQFACZtEPhc,47.375648,8.5441121,4.0,391,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Niederdorfstrasse 68, Zürich",Niederdorfstrasse 68, Zürich
2,Zeughauskeller,ChIJX7fB6wAKkEcRhpTedk8sztg,47.3704208,8.5399742,4.4,9195,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 28A, Zürich",Bahnhofstrasse 28A, Zürich
3,Coop Restaurant Zürich St. Annahof,ChIJgcBmwAYKkEcRnuVcVKVsDYY,47.3730091,8.538126,4.2,1013,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 57, Zürich",Bahnhofstrasse 57, Zürich
4,Wolfbach,ChIJ68Be562gmkcRamHPMmoGRAg,47.37029219999999,8.5522824,4.6,187,"['restaurant', 'food', 'point_of_interest', 'establishment']","Wolfbachstrasse 35, Zürich",Wolfbachstrasse 35, Zürich
5,La Rôtisserie,ChIJA4wBqwAKkEcR1Y1kaDLt-H8,47.3711107,8.5417977,4.5,251,"['restaurant', 'food', 'point_of_interest', 'establishment']","Weinpl. 2, Zürich",Weinpl. 2, Zürich
6,Bauernschänke,ChIJiZuJn6mgmkcRaGWEH7EljDw,47.3724348,8.5451847,4.5,449,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rindermarkt 24, Zürich",Rindermarkt 24, Zürich
7,Sternen Grill + Sternen Grill Restaurant im oberen Stock,ChIJs1urRqugmkcRA1ulmr2Q5wk,47.36732199999999,8.545594,4.4,4129,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Theaterstrasse 22, Zürich",Theaterstrasse 22, Zürich
8,Bistro Grill am See,ChIJe1Stj_uhmkcRVzrDhtey1Mo,47.3668922,8.5443304,3.9,23,"['restaurant', 'food', 'point_of_interest', 'establishment']","Schiffstation am, Tram Bürklipl., Zürich",Schiffstation am, Tram Bürklipl.
9,Restaurant Sopra,ChIJI58lMdELkEcRAMy_r915lYA,47.3742941,8.5374555,4.0,33,"['restaurant', 'food', 'point_of_interest', 'establishment']","Seidengasse 1, Zürich",Seidengasse 1, Zürich
10,Madrid,ChIJVyhQpamgmkcRbttRg83N9a0,47.3732415,8.5446599,4.4,543,"['restaurant', 'food', 'point_of_interest', 'establishment']","Froschaugasse 15, Zürich",Froschaugasse 15, Zürich
11,Heugümper,ChIJa0sAlQAKkEcRN0KXUTVHiYc,47.3702704,8.5401106,4.7,308,"['restaurant', 'food', 'point_of_interest', 'establishment']","Waaggasse 4, Zürich",Waaggasse 4, Zürich
12,Veltlinerkeller,ChIJO1F5rwAKkEcRJ7H4nRupWr4,47.37096469999999,8.5411972,4.7,220,"['restaurant', 'food', 'point_of_interest', 'establishment']","Schlüsselgasse 8, Zürich",Schlüsselgasse 8, Zürich
13,Lindenhofkeller Restaurant,ChIJr0M7RwcKkEcR58OcvIT2Gls,47.3724745,8.5407838,4.6,36,"['restaurant', 'food', 'point_of_interest', 'establishment']","Pfalzgasse 4, Zürich",Pfalzgasse 4, Zürich
14,Rosaly's Restaurant & Bar,ChIJy1roQqugmkcRBeCV-hePRf4,47.367419,8.545874,4.5,616,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Freieckgasse 7, Zürich",Freieckgasse 7, Zürich
15,Restaurant Kiosk,ChIJFTaCRVCnmkcRSfu6Z_63jxs,47.3581505,8.5478983,4.0,868,"['restaurant', 'food', 'point_of_interest', 'establishment']","Seefeldquai 51, Zürich",Seefeldquai 51, Zürich
16,Coop Restaurant Zürich Bellevue,ChIJt3cvW6ugmkcR8lFcEpjr-UU,47.3673456,8.5460155,4.2,229,"['restaurant', 'food', 'point_of_interest', 'establishment']","Theaterstrasse 18, Zürich",Theaterstrasse 18, Zürich
17,Storchen,ChIJJ41DSAqhmkcR-wN6XRl2uEI,47.3711997,8.5418832,4.4,17,"['restaurant', 'food', 'point_of_interest', 'establishment']","Weinpl. 2, Zürich",Weinpl. 2, Zürich
18,Pepito,ChIJBSHpClinmkcRZ0vU2H2FGog,47.36593070000001,8.5467687,3.7,25,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Theaterstrasse 9, Zürich",Theaterstrasse 9, Zürich
19,Union Diner Bellevue,ChIJ22DpdmuhmkcRNp3vx2s7akg,47.3670157,8.5462876,4.3,210,"['restaurant', 'food', 'point_of_interest', 'establishment']","St. Urbangasse 4, Zürich",St. Urbangasse 4, Zürich
20,McDonald’s,ChIJWVobtKygmkcRjf-dHUI1l2c,47.3664546,8.5476469,3.5,1691,"['restaurant', 'food', 'point_of_interest', 'establishment']","Stadelhofen, Gottfried-Keller-Strasse 7, Zürich",Stadelhofen, Gottfried-Keller-Strasse 7
21,Restaurant Enja,ChIJuUU5wugLkEcR5NhbqJ2qVwY,47.3737258,8.5374298,4.4,118,"['restaurant', 'park', 'bar', 'food', 'point_of_interest', 'establishment']","Sihlstrasse 9, Zürich",Sihlstrasse 9, Zürich
22,Restaurant Hirschberg,ChIJCyFlHqmgmkcR5jwW8VtbTNQ,47.3735024,8.546693399999999,4.6,121,"['restaurant', 'food', 'point_of_interest', 'establishment']","Seilergraben 9, Zürich",Seilergraben 9, Zürich
23,Max&Otto,ChIJcwrUclOnmkcRAbMGnaSv5bs,47.3641825,8.5471399,4.3,166,"['restaurant', 'food', 'point_of_interest', 'establishment']","Dufourstrasse 4, Zürich",Dufourstrasse 4, Zürich
24,Widder Garden,ChIJhfDAJAcKkEcR59EtQQox4TQ,47.3725174,8.539818,4.5,11,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rennweg 7, Zürich",Rennweg 7, Zürich
25,tibits Bistro,ChIJGfgyljOnmkcRoOVA1-_tf1I,47.3646921,8.5476147,4.5,449,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Falkenstrasse 12, Zürich",Falkenstrasse 12, Zürich
26,AuGust,ChIJeSToOgcKkEcRgiVTUfjVOTg,47.3723276,8.5400013,4.3,755,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rennweg 7, Zürich",Rennweg 7, Zürich
27,Neue Taverne,ChIJSetnU64LkEcR8iIrqCbvkkk,47.3720812,8.540402499999999,4.7,388,"['restaurant', 'food', 'point_of_interest', 'establishment']","Glockengasse 8, Zürich",Glockengasse 8, Zürich
28,Bodega Espanola,ChIJPfdXKKqgmkcRYb15HXkViwg,47.3712679,8.544127,4.2,1078,"['liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Münstergasse 15, Zürich",Münstergasse 15, Zürich
29,Trattoria Sempre,ChIJ9zpt266hmkcRMtrazHLMiGE,47.3729903,8.5436294,4.4,514,"['restaurant', 'food', 'point_of_interest', 'establishment']","Niederdorfstrasse 7, Zürich",Niederdorfstrasse 7, Zürich
30,Wirtsstube Münsterhöfli,ChIJ1f0ImQAKkEcRDt7eCVz0uV0,47.3700336,8.5403322,4.3,433,"['restaurant', 'food', 'point_of_interest', 'establishment']","Münsterhof 6, Zürich",Münsterhof 6, Zürich
31,Mühlebach,ChIJzdYQfU2nmkcRCwVfynqZYls,47.363962,8.55173,4.4,182,"['restaurant', 'food', 'point_of_interest', 'establishment']","Mühlebachstrasse 43, Zürich",Mühlebachstrasse 43, Zürich
32,Noon,ChIJ87r6CqugmkcRVdjd6U7kq9U,47.3686777,8.545457299999999,4.5,220,"['restaurant', 'food', 'point_of_interest', 'establishment']","Oberdorfstrasse 9, Zürich",Oberdorfstrasse 9, Zürich
33,Neumünster,ChIJtU0rb0mnmkcRJKDNUwwKVPQ,47.3595784,8.5585001,4.7,71,"['restaurant', 'food', 'point_of_interest', 'establishment']","Hammerstrasse 10, Zürich",Hammerstrasse 10, Zürich
34,Pier 7,ChIJUc8n4KqgmkcR0pKcodPKc88,47.3678233,8.5436663,4.6,177,"['restaurant', 'food', 'point_of_interest', 'establishment']","Limmatquai 7, Zürich",Limmatquai 7, Zürich
35,Dialog,ChIJhbZbLKqgmkcRWjrTuenaQ_Q,47.3708614,8.544713999999999,4.2,232,"['restaurant', 'food', 'point_of_interest', 'establishment']","Münstergasse 4, Zürich",Münstergasse 4, Zürich
36,KAIMUG Höschgasse,ChIJBxcLyvanmkcRnyUwFvoWdL8,47.3584622,8.5539886,3.6,5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Seefeldstrasse 111/113, Zürich",Seefeldstrasse 111/113, Zürich
37,ROBIN’S little italy,ChIJT8XQFuShmkcREAcaM9pz1dY,47.3757403,8.5444532,4.1,7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Zähringerstrasse 33, Zürich",Zähringerstrasse 33, Zürich
38,Römerblick,ChIJAQ6pZLSgmkcRnCN_tPb8G30,47.3680622,8.559903499999999,4.4,118,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']","Asylstrasse 58, Zürich",Asylstrasse 58, Zürich
39,Bianchi,ChIJG7Yh0amgmkcRI7GI0awSb-o,47.37354209999999,8.5429626,4.6,586,"['restaurant', 'food', 'point_of_interest', 'establishment']","Limmatquai 82, Zürich",Limmatquai 82, Zürich
40,Schipfe 16,ChIJhxLGZQcKkEcR9DiYBQ21czo,47.3730889,8.541802299999999,4.5,510,"['restaurant', 'food', 'point_of_interest', 'establishment']","Schipfe 16, Zürich",Schipfe 16, Zürich
41,Oberhof,ChIJgcmQya-gmkcRyRJ5Q4f5BTQ,47.3734817,8.5535484,4.7,186,"['restaurant', 'food', 'point_of_interest', 'establishment']","Zürichbergstrasse 24, Zürich",Zürichbergstrasse 24, Zürich
42,Pumpstation,ChIJd949nVOnmkcROghWyVhkibY,47.3636537,8.5463788,4.1,1712,"['restaurant', 'food', 'point_of_interest', 'establishment']","Utoquai 10, Zürich",Utoquai 10, Zürich
43,Glogge Egge,ChIJO6xGoQYKkEcR3L8U0fsGoMw,47.37290489999999,8.5365208,4.3,126,"['bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']","Sihlstrasse 31, Zürich",Sihlstrasse 31, Zürich
44,Vapiano,ChIJ9-g9ZqugmkcReZ-24XijM5A,47.367774,8.5461457,4.0,2672,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Rämistrasse 8, Zürich",Rämistrasse 8, Zürich
45,Luca² Restaurant,ChIJjT2K4rSgmkcRVPta4W5Z_Ig,47.3668091,8.5616751,4.9,219,"['restaurant', 'food', 'point_of_interest', 'establishment']","Asylstrasse 81, Zürich",Asylstrasse 81, Zürich
46,Rechberg,ChIJTXf7bkyhmkcR1ImE305ohMc,47.3740371,8.5461951,4.7,226,"['restaurant', 'food', 'point_of_interest', 'establishment']","Chorgasse 20, Zürich",Chorgasse 20, Zürich
47,Migros Restaurant,ChIJe6LeMFOnmkcR2cOwloDyUaA,47.3654649,8.5479404,3.8,189,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']","Falkenstrasse 19 - 21, Zürich",Falkenstrasse 19 - 21, Zürich
48,James Joyce,ChIJJzJlsQYKkEcRIVgHjafHIJc,47.372227,8.537009,4.3,609,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Pelikanstrasse 8, Zürich",Pelikanstrasse 8, Zürich
49,Blinde Kuh,ChIJ5fkhIUmnmkcRsKa_icA6Xwc,47.358279,8.5573,4.7,975,"['restaurant', 'food', 'point_of_interest', 'establishment']","Mühlebachstrasse 148, Zürich",Mühlebachstrasse 148, Zürich
50,Migros Restaurant,ChIJicVfxQUKkEcRrbxHS1dFpDw,47.3752322,8.5364528,4.2,775,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']","Löwenstrasse 31-35, Zürich",Löwenstrasse 31-35, Zürich
51,LUX Restaurant & Bar,ChIJLeoeJhAJkEcRkbhTuk67LGE,47.3659761,8.5382272,4.4,184,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Claridenstrasse 5, Zürich",Claridenstrasse 5, Zürich
52,Ornellaia,ChIJhR8PuAYKkEcRoIf_0blKJ7I,47.37245679999999,8.5377064,4.6,296,"['restaurant', 'food', 'point_of_interest', 'establishment']","St. Annagasse 2, Zürich",St. Annagasse 2, Zürich
53,Carlton,ChIJhW8XMQEKkEcRSC3jvBjpmiM,47.3713386,8.537680500000002,4.4,264,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Bahnhofstrasse 41, Zürich",Bahnhofstrasse 41, Zürich
54,Swiss Chuchi Restaurant,ChIJTfaDxqmgmkcRN_HnS0olahk,47.37316389999999,8.543659200000002,4.3,4141,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rosengasse 10, Zürich",Rosengasse 10, Zürich
55,Tiffins Asian Kitchen,ChIJh3TsCVKnmkcRPPFzTrImq0M,47.3618925,8.5510282,4.2,628,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Seefeldstrasse 61, Zürich",Seefeldstrasse 61, Zürich
56,Chiffon - Restaurant Bar,ChIJ1XN9woehmkcRv55KoXCBBBA,47.3725921,8.5478041,4.5,216,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Hirschengraben 36, Zürich",Hirschengraben 36, Zürich
57,Ginger Restaurant,ChIJSfGzDlKnmkcR-JYhXFg-h3c,47.361841,8.550616999999999,4.3,487,"['restaurant', 'food', 'point_of_interest', 'establishment']","Seefeldstrasse 62, Zürich",Seefeldstrasse 62, Zürich
58,Osteria Borgo,ChIJ96N--46hmkcR64B4pntji7k,47.3746714,8.5437078,4.3,229,"['restaurant', 'food', 'point_of_interest', 'establishment']","Niederdorfstrasse 33, Zürich",Niederdorfstrasse 33, Zürich
59,Lotti,ChIJqUQeSwYKkEcR9gphI8iyyl8,47.3751661,8.5397742,4.2,684,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Werdmühlepl. 3, Zürich",Werdmühlepl. 3, Zürich
